Amount,999,,,,,,,,,,
Reference,testing,,,,,,,,,,
TAC,Your TAC No. is ([^.]*). TRANSFER TO MAYBANK A/C,,,,,,,,,,
Favourites,,,,,,,,,,,
,,,,,,,,,,,
Other Maybank Transfer to Bank:,HONG LEONG BANK,,,,,,,,,,
DuitNow-IBFT (1)*pending,Fund Transfer (1),Credit Card (2),Loan Payment (3),Hire Purchase (4),Favs,,,,,,
To Account Number,00100921333,4028141000715680,171000087,25125125,,,,,,,
Recipient Name,nicky,nicky,nicky,nicky,,,,,,,
Transfer Amount,1,1,1,1,,,,,,,
Recipient Ref,testing,testing,testing,testing,,,,,,,
TAC,Your TAC No. is ([^.]*). DuitNow Transfer,,,,,,,,,,
Favourites,,,,,,,,,,,
Other Maybank Transfer to Bank:,AFFIN BANK BERHAD,,,,,,,,,,
Giro-IBG (2),Fund Transfer (1),Credit Card (2),Loan Payment (3),Hire Purchase (4),,,,,,,
To Account Number,00100918102,25125125,25125125,25125125,,,,,,,
Recipient Name,nicky,nicky,nicky,nicky,,,,,,,
Transfer Amount,1,1,1,1,,,,,,,
Recipient Ref,testing,testing,testing,testing,,,,,,,
TAC,Your TAC No. is ([^.]*). IBG TRANSFER,,,,,,,,,,
Favourites,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5-Mobile Number,,Favourite,,,,,,,,,
Mobile Number,0132512314,,,,,,,,,,
Nickname,yazx,,,,,,,,,,
Amount,,,,,,,,,,,
TAC,Your TAC No. is ([^.]*). CARDLESS WITHDRAWAL for,,,,,,,,,,
Name,,Nicky,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4-Oversea Transfer,,,,,,,,,,,
Transfer to which country:,Singapore,,,,,,,,,,
Value:,110,,,,,,,,,,
,Maybank Overseas Transfer,,Foreign Telegraphic Transfer,,Western Union (Cash),,Western Union (Credit to Account),,VISA Direct,,
Recipients Bank Name,Malayan Banking Berhad(MBBESGSG),Sender's Details:,,Sender Details:,,Sender Details:,,Account Number,4761340000000030,,
Account Number,04013022850,Nationality -DD,Malaysian,PromoCode (opt),testing,PromoCode (opt),testing,,,,
,,Sender Address Line 1,testing,Address Line 1,testing,Address Line 1,testing,Recipient Details:,,,
,,Sender Address Line 2,testing,Address Line 2,testing,Address Line 2,testing,Card Holder Last Name,testing,,
Sender's details:,,Postcode,28100,Email Address (opt),testing,Email Address (opt),testing,Card Holder First Name,testing,,
Nationality -DD,Malaysian(Citizen/Permanent Resident),Country -DD,testing,Temporary Address Line 1 (Opt),testing,Temporary Address Line 1 (Opt),testing,,,,
Sender Address Line 1,testing,,,Temporary Address Line 2 (Opt),testing,Temporary Address Line 2 (Opt),testing,,,,
Sender Address Line 2,testing,Recipient's bank details:,,Postcode,testing,Postcode,testing,TAC,Your TAC No. is ([^.]*). M2U VISA DIRECT to,,
Postcode,28100,Recipient's Bank -DD,,City,testing,City,testing,,,,
Country -DD,Singapore,Acc No,101745664,State/Province,testing,State/Province,testing,,,,
,,Branch Address,testing,ID Type -DD,Police/Military ID Card,ID Type -DD,Police/Military ID Card,,,,
Recipient's Details:,,City,testing,ID Number ,testing,ID Number ,testing,,,,
Nationality -DD,Malaysian,,,ID date of issue *id type,1234567,ID date of issue *id type,1234567,,,,
IC/Passport No/Business Regist No,961019061111,Recipient's Details:,,ID date of expiry * id type,1234567,ID date of expiry * id type,1234567,,,,
Recipient Address Line 1,testing1,Nationality -DD,Malaysian,ID Issue Country -DD,Afghanistan,ID Issue Country -DD,Afghanistan,,,,
Recipient Address Line 2,etsting1,Name,testing,Occupation -DD,Airline/Maritime Employee,Occupation -DD,Airline/Maritime Employee,,,,
Country -DD,Singapore,IC/PP No/Biz Reg No,9669696asddasd,Emp Pos* occ -DD,Entry Level,Emp Pos* occ -DD,Entry Level,,,,
Contact Number,0132512311,Recipient Address Line 1,testing,Relationship to Beneficiary -DD,Family,Relationship to Beneficiary -DD,Family,,,,
Email (Opt),aldjsjsa@gmail.com,Recipient Address Line 2,testing,Country of Birth -DD,Singapore,Country of Birth -DD,Singapore,,,,
,,Country -DD,testing,Source of Funds-DD,Salary/Income,Source of Funds-DD,Salary/Income,,,,
Additional Info:,,Contact Number,0132521253,,,,,,,,
Purpose -DD,TRANSFER,Emal (Opt),testing,Recipient Details:,,Recipient Details:,,,,,
Subpurpose,PRIVATE TRANSFER - OTHER CAPITAL TRANSFERS,,,,,Bank Name -DD,BNP Paribas,,,,
Family relay*subpurpose,,Transfer Details:,,,,Account Number,12312312312,,,,
Add info,not testing,,,First Name,testing,First Name,testing,,,,
,,Purpose -DD,,Last Name,testing,Last Name,testing,,,,
,,SubPurpose -DD,,Phone No,0132512312,Phone No,0132512312,,,,
,,Agent/beneficiary bank fees,,"Receiver Country/Code
-DD",,"Receiver Country/Code
-DD",,,,,
,,Add. Info(opt),,Street Line1,testing,Street Line1,testing,,,,
,,,,Street Line2,testing,Street Line2,testing,,,,
,,TAC,Your TAC No. is ([^.]*). FOREIGN TT to,Postal Code,28100,Postal Code,28100,,,,
,,,,City(Destination),testing,City(Destination),testing,,,,
,,,,State,testing,State,testing,,,,
MOT offline,Maybank2u Foreign TT service is currently offline,MFTT offline,Maybank Overseas Transfer service is currently offline,Country -DD,,Country -DD,,,,,
,,,,ID type (Optional) -DD,,ID type (Optional) -DD,,,,,
,,,,ID number (Opt),123123,ID number (Opt),123123,,,,
,,,,DOB,19101996,DOB,19101996,,,,
,,,,,,,,,,,
,,,,Transfer Details:,,Transfer Details:,,,,,
,,768338,,Pupose,Saving/Investments,Pupose,Saving/Investments,,,,
,,,,Sub Porpose,Investment income,Sub Porpose,Investment income,,,,
